Barcode,Name, RSP ,Price
5060139430890,BEAR YOYO APPLE 20G X 18 : 430890, 102.60 , 82.08 
5060139430913,BEAR YOYO APPLE 20G X 5 : 430913/434782, 25.00 , 20.00 
5060139431033,BEAR YOYO MANGO 20G X 5 : 431033/434799, 25.00 , 20.00 
5060139430647,BEAR YOYO RASPBERRY 20G X 5 : 430647/434805, 25.00 , 20.00 
5060139430364,BEAR YOYO STRAWBERRY 20G X 5 : 430364/434812, 25.00 , 20.00 
5060139431026,BEAR YOYO MANGO 20G X 18 : 431026, 102.60 , 82.08 
5060139432535,BEAR FRUIT ROLLS MANGO FAMILY PACK 20G X 9 : 432535, 35.00 , 28.00 
5060139431545,BEAR FRUIT ROLLS  STRAWBERRY FAMILY PACK 20G X 9 : 431545, 35.00 , 28.00 
5060139431590,BEAR FRUIT ROLLS BLACKCURRANT FAMILY PACK 20G X 9 : 431590, 35.00 , 28.00 
746817004113,BEARD GUYZ BEARD WASH WITH GROTEIN 8OZ�: 411, 58.00 , 46.40 
746817004120,BEARD GUYZ BEARD CONDITIONER WITH GROTEIN 8OZ�: 412, 58.00 , 46.40 
746817004137,BEARD GUYZ BEARD OIL�WITH GROTEIN 2OZ : 413, 68.00 , 54.40 
746817004151,BEARD GUYZ BEARD BALM WITH GROTEIN 3OZ : 415, 68.00 , 54.40 
746817004304,BEARD GUYZ BEARD BUTTER WITH GROTEIN 4OZ : 430, 68.00 , 54.40 
746817004564,BEARD GUYZ BEARD SERUM WITH GROTEIN 1OZ : 456, 58.00 , 46.40 
746817004236,BEARD GUYZ STYLE STICK WITH GROTEIN 1OZ : 423, 58.00 , 46.40 
746817004243,BEARD GUYZ MOUSTACHE WAX WITH GROTEIN 1OZ : 424, 58.00 , 46.40 
5012251001786,BF HAND & NAIL LOTION 100 ML: 1786, 12.00 , 9.60 
5012251012386,BF CHARCOAL DUAL STPE FACIAL MASK 3G + 10G :012386, 12.00 , 9.60 
5012251011433,BF FOOT MASK 1 PAIR:11433, 12.00 , 9.60 
5012251011426,BF HAND MASK 1 PAIR:11426, 12.00 , 9.60 
5012251010429,BF TEA TREE�FACE MASK 100ML: 10429, 14.00 , 11.20 
